_id,Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
3404,20210808,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1478,,2036054,,All vaccinations
3405,20210808,S92000003,Moderna (Spikevax),,Dose 1,304,,175015,,All vaccinations
3406,20210808,S92000003,Moderna (Spikevax),,Dose 2,1914,,49881,,All vaccinations
3407,20210808,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,1517,,1719119,,All vaccinations
3408,20210808,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,14587,,1264866,,All vaccinations
3409,20210808,S92000003,Total,,Dose 1,1971,,4030557,,All vaccinations
3410,20210808,S92000003,Total,4439078,Dose 1,1380,0.0310875366461234,4016326,90.4765809476653,18 years and over
3411,20210808,S92000003,Total,2875396,Dose 1,231,0.00803367605714135,2820711,98.0981749992001,40 years and over
3412,20210808,S92000003,Total,4549217,Dose 1,1932,0.0424688468367194,4030073,88.5882779388189,16 years and over
3413,20210808,S92000003,Total,,Dose 2,17979,,3350801,,All vaccinations
3414,20210808,S92000003,Total,4439078,Dose 2,17887,0.402944034774789,3342249,75.2915132376588,18 years and over
3415,20210808,S92000003,Total,2875396,Dose 2,1752,0.0609307378879292,2706454,94.1245657989369,40 years and over
3416,20210808,S92000003,Total,4549217,Dose 2,17977,0.395166904546431,3350710,73.6546530974451,16 years and over
3417,20210809,S92000003,AstraZeneca (Vaxzevria),,Dose 1,195,,2136618,,All vaccinations
3418,20210809,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1670,,2037724,,All vaccinations
3419,20210809,S92000003,Moderna (Spikevax),,Dose 1,208,,175223,,All vaccinations
3420,20210809,S92000003,Moderna (Spikevax),,Dose 2,1323,,51204,,All vaccinations
3421,20210809,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,2282,,1721401,,All vaccinations
3422,20210809,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,12826,,1277692,,All vaccinations
3423,20210809,S92000003,Total,,Dose 1,2685,,4033242,,All vaccinations
3424,20210809,S92000003,Total,4439078,Dose 1,1614,0.0363589015556834,4017940,90.512939849221,18 years and over
3425,20210809,S92000003,Total,2875396,Dose 1,290,0.0100855673444632,2821001,98.1082605665446,40 years and over
3426,20210809,S92000003,Total,4549217,Dose 1,2482,0.0545588394662202,4032555,88.6428367782852,16 years and over
3427,20210809,S92000003,Total,,Dose 2,15819,,3366620,,All vaccinations
3428,20210809,S92000003,Total,4439078,Dose 2,15765,0.355141315381257,3358014,75.6466545530401,18 years and over
3429,20210809,S92000003,Total,2875396,Dose 2,1970,0.0685123023054911,2708424,94.1930781012424,40 years and over
3430,20210809,S92000003,Total,4549217,Dose 2,15819,0.347730169829226,3366529,74.0023832672743,16 years and over
3431,20210810,S92000003,AstraZeneca (Vaxzevria),,Dose 1,203,,2136821,,All vaccinations
3432,20210810,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1506,,2039230,,All vaccinations
3433,20210810,S92000003,Moderna (Spikevax),,Dose 1,218,,175441,,All vaccinations
3434,20210810,S92000003,Moderna (Spikevax),,Dose 2,1846,,53050,,All vaccinations
3435,20210810,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,4460,,1725861,,All vaccinations
3436,20210810,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,14301,,1291993,,All vaccinations
3437,20210810,S92000003,Total,,Dose 1,4881,,4038123,,All vaccinations
3438,20210810,S92000003,Total,4439078,Dose 1,1754,0.0395127096212322,4019694,90.5524525588422,18 years and over
3439,20210810,S92000003,Total,2875396,Dose 1,280,0.00973778916017133,2821281,98.1179983557048,40 years and over
3440,20210810,S92000003,Total,4549217,Dose 1,4632,0.101819719745178,4037187,88.7446564980303,16 years and over
3441,20210810,S92000003,Total,,Dose 2,17653,,3384273,,All vaccinations
3442,20210810,S92000003,Total,4439078,Dose 2,17590,0.396253456235732,3375604,76.0429080092758,18 years and over
3443,20210810,S92000003,Total,2875396,Dose 2,1802,0.0626696288093883,2710226,94.2557477300518,40 years and over
3444,20210810,S92000003,Total,4549217,Dose 2,17653,0.388044799797416,3384182,74.3904280670718,16 years and over
3445,20210811,S92000003,AstraZeneca (Vaxzevria),,Dose 1,262,,2137083,,All vaccinations
3446,20210811,S92000003,AstraZeneca (Vaxzevria),,Dose 2,1539,,2040769,,All vaccinations
3447,20210811,S92000003,Moderna (Spikevax),,Dose 1,259,,175700,,All vaccinations
3448,20210811,S92000003,Moderna (Spikevax),,Dose 2,1678,,54728,,All vaccinations
3449,20210811,S92000003,Pfizer BioNTech (Comirnaty),,Dose 1,4240,,1730101,,All vaccinations
3450,20210811,S92000003,Pfizer BioNTech (Comirnaty),,Dose 2,15207,,1307200,,All vaccinations
3451,20210811,S92000003,Total,,Dose 1,4761,,4042884,,All vaccinations
3452,20210811,S92000003,Total,4439078,Dose 1,1687,0.0380033871898624,4021381,90.590455946032,18 years and over
3453,20210811,S92000003,Total,2875396,Dose 1,322,0.011198457534197,2821603,98.1291968132389,40 years and over
3454,20210811,S92000003,Total,4549217,Dose 1,4611,0.101358101844779,4041798,88.8460145998751,16 years and over
3455,20210811,S92000003,Total,,Dose 2,18424,,3402697,,All vaccinations
3456,20210811,S92000003,Total,4439078,Dose 2,18364,0.413689509398123,3393968,76.4565975186739,18 years and over
3457,20210811,S92000003,Total,2875396,Dose 2,1852,0.0644085197308475,2712078,94.3201562497826,40 years and over
3458,20210811,S92000003,Total,4549217,Dose 2,18424,0.404992771283498,3402606,74.7954208383553,16 years and over
3459,20210812,S92000003,AstraZeneca (Vaxzevria),,Dose 1,170,,2137253,,All vaccinations
